,,"Druid
Flag Carrier",,,,"Druid
Midfield",,,,"Hunter
Defense",,,,"Hunter
Midfield",,,,"Hunter
Offense",,,,"Mage
Defense",,,,"Mage
Midfield",,,,"Mage
Offense",,,,"Priest
Defense",,,,"Priest
Midfield",,,,"Priest
Offense",,,,"Rogue
Midfield",,,,"Rogue
Offense",,,,"Shaman
Defense",,,,"Shaman
Midfield",,,,"Shaman
Offense",,,,"Warlock
Defense",,,,"Warlock
Midfield",,,,"Warlock
Offense",,,,"Warrior
Defense",,,,"Warrior
Midfield",,,,"Warrior
Offense",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Lucky 
Fishing Hat","100 Health
Lesser Arcanum
of Constitution",,,"Lucky 
Fishing Hat","150 Mana
Lesser Arcanum
of Rumination",,,"Lucky 
Fishing Hat","100 Health
Lesser Arcanum
of Constitution",,,"Lucky 
Fishing Hat","8 Agility
Lesser Arcanum
of Voracity",,,"Lucky 
Fishing Hat","8 Agility
Lesser Arcanum
of Voracity",,,"Lucky 
Fishing Hat","100 Health
Lesser Arcanum
of Constitution",,,"Lucky 
Fishing Hat","100 Health
Lesser Arcanum
of Constitution",,,"Lucky 
Fishing Hat","150 Mana
Lesser Arcanum
of Rumination",,,"Lucky 
Fishing Hat","100 Health
Lesser Arcanum
of Constitution",,,"Lucky 
Fishing Hat","150 Mana
Lesser Arcanum
of Rumination",,,"Lucky 
Fishing Hat","150 Mana
Lesser Arcanum
of Rumination",,,"Lucky 
Fishing Hat","100 Health
Lesser Arcanum
of Constitution",,,"Lucky 
Fishing Hat","8 Agility
Lesser Arcanum
of Voracity",,,"Lucky 
Fishing Hat","100 Health
Lesser Arcanum
of Constitution",,,"Lucky 
Fishing Hat","100 Health
Lesser Arcanum
of Constitution",,,"Lucky 
Fishing Hat","150 Mana
Lesser Arcanum
of Rumination",,,"Lucky 
Fishing Hat","100 Health
Lesser Arcanum
of Constitution",,,"Lucky 
Fishing Hat","100 Health
Lesser Arcanum
of Constitution",,,"Lucky 
Fishing Hat","100 Health
Lesser Arcanum
of Constitution",,,"Lucky 
Fishing Hat","100 Health
Lesser Arcanum
of Constitution",,,"Lucky 
Fishing Hat","100 Health
Lesser Arcanum
of Constitution",,,"Lucky 
Fishing Hat","8 Strength
Lesser Arcanum
of Voracity"
,,"Scout's
Medallion",,,,"Scout's
Medallion",,,,"Scout's
Medallion",,,,"Scout's
Medallion",,,,"Scout's
Medallion",,,,"Scout's
Medallion",,,,"Scout's
Medallion",,,,"Scout's
Medallion",,,,"Scout's
Medallion",,,,"Scout's
Medallion",,,,"Scout's
Medallion",,,,"Scout's
Medallion",,,,"Scout's
Medallion",,,,"Scout's
Medallion",,,,"Scout's
Medallion",,,,"Scout's
Medallion",,,,"Scout's
Medallion",,,,"Scout's
Medallion",,,,"Scout's
Medallion",,,,"Scout's
Medallion",,,,"Scout's
Medallion",,,,"Scout's
Medallion",
,,"Feral 
Shoulder Pads","16 Stamina
+100 Armor
F. of the Scourge",,,"Feral 
Shoulder Pads","31 Healing
5 Mana per 5 sec
R. of the Scourge",,,"Feral 
Shoulder Pads","16 Stamina
+100 Armor
F. of the Scourge",,,"Feral 
Shoulder Pads","26 Attack Power
1% Crit Rate
M. of the Scourge",,,"Feral 
Shoulder Pads","26 Attack Power
1% Crit Rate
M. of the Scourge",,,"Reinforced
Woolen 
Shoulders","16 Stamina
+100 Armor
F. of the Scourge",,,"Reinforced
Woolen 
Shoulders","16 Stamina
+100 Armor
F. of the Scourge",,,"Reinforced
Woolen 
Shoulders","15 Spellpower
1% Crit Rate
P. of the Scourge",,,"Reinforced
Woolen 
Shoulders","16 Stamina
+100 Armor
F. of the Scourge",,,"Reinforced
Woolen 
Shoulders","31 Healing
5 Mana per 5 sec
R. of the Scourge",,,"Reinforced
Woolen 
Shoulders","31 Healing
5 Mana per 5 sec
R. of the Scourge",,,"Feral 
Shoulder Pads","26 Attack Power
1% Crit Rate
M. of the Scourge",,,"Feral 
Shoulder Pads","26 Attack Power
1% Crit Rate
M. of the Scourge",,,"Feral 
Shoulder Pads","31 Healing
5 Mana per 5 sec
R. of the Scourge",,,"Feral 
Shoulder Pads","16 Stamina
+100 Armor
F. of the Scourge",,,"Feral 
Shoulder Pads","26 Attack Power
1% Crit Rate
M. of the Scourge",,,"Reinforced
Woolen 
Shoulders","16 Stamina
+100 Armor
F. of the Scourge",,,"Reinforced
Woolen 
Shoulders","18 Spellpower
Zandalar Signet
of Mojo",,,"Reinforced
Woolen 
Shoulders","18 Spellpower
Zandalar Signet
of Mojo",,,"Defender
Spaulders","16 Stamina
+100 Armor
F. of the Scourge",,,"Defender
Spaulders","16 Stamina
+100 Armor
F. of the Scourge",,,"Defender
Spaulders","26 Attack Power
1% Crit Rate
M. of the Scourge"
,,Firebane Cloak,"10 Shadow Resist
Enchant Cloak
Shadow Resistance",,,"Battle Healer's
Cloak","10 Shadow Resist
Enchant Cloak
Shadow Resistance",,,Engineer's Cloak,"5 All Resist
Enchant Cloak
Greater Resistance",,,Sentry Cloak,"5 All Resist
Enchant Cloak
Greater Resistance",,,Sentry Cloak,"5 All Resist
Enchant Cloak
Greater Resistance",,,Firebane Cloak,"10 Shadow Resist
Enchant Cloak
Shadow Resistance",,,Engineer's Cloak,"5 All Resist
Enchant Cloak
Greater Resistance",,,"Watcher's Cape
of Frozen Wrath","5 All Resist
Enchant Cloak
Greater Resistance",,,"Battle Healer's
Cloak","5 All Resist
Enchant Cloak
Greater Resistance",,,"Battle Healer's
Cloak","5 All Resist
Enchant Cloak
Greater Resistance",,,Engineer's Cloak,"5 All Resist
Enchant Cloak
Greater Resistance",,,Sentry Cloak,"5 All Resist
Enchant Cloak
Greater Resistance",,,Sentry Cloak,"15 Nature Resist
Enchant Cloak
Greater Nature Res.",,,"Battle Healer's
Cloak","5 All Resist
Enchant Cloak
Greater Resistance",,,Engineer's Cloak,"5 All Resist
Enchant Cloak
Greater Resistance",,,"Sentry Cape
of the Gorilla","5 All Resist
Enchant Cloak
Greater Resistance",,,Firebane Cloak,"10 Shadow Resist
Enchant Cloak
Shadow Resistance",,,"Watcher's Cape
of Shadow Wrath","5 All Resist
Enchant Cloak
Greater Resistance",,,"Watcher's Cape
of Shadow Wrath","5 All Resist
Enchant Cloak
Greater Resistance",,,Firebane Cloak,"10 Shadow Resist
Enchant Cloak
Shadow Resistance",,,Sentry Cloak,"5 All Resist
Enchant Cloak
Greater Resistance",,,"Sentry's Cape
of Strength","5 All Resist
Enchant Cloak
Greater Resistance"
,,"Blackened
Defias Armor","100 Health
Enchant Chest
Major Health",,,"Tree Bark
Jacket","100 Health
Enchant Chest
Major Health",,,"Tree Bark
Jacket","4 All Stats
Enchant Chest
Greater Stats",,,"Blackened
Defias Armor","4 All Stats
Enchant Chest
Greater Stats",,,"Tree Bark
Jacket","4 All Stats
Enchant Chest
Greater Stats",,,"Tree Bark
Jacket","100 Health
Enchant Chest
Major Health",,,"Tree Bark
Jacket","100 Health
Enchant Chest
Major Health",,,"Tree Bark
Jacket","100 Health
Enchant Chest
Major Health",,,"Tree Bark
Jacket","100 Health
Enchant Chest
Major Health",,,"Tree Bark
Jacket","100 Health
Enchant Chest
Major Health",,,"Tree Bark
Jacket","100 Mana
Enchant Chest
Major Mana",,,"Blackened
Defias Armor","100 Health
Enchant Chest
Major Health",,,"Blackened
Defias Armor","4 All Stats
Enchant Chest
Greater Stats",,,"Tree Bark
Jacket","4 All Stats
Enchant Chest
Greater Stats",,,"Blackened
Defias Armor","4 All Stats
Enchant Chest
Greater Stats",,,"Blackened
Defias Armor","4 All Stats
Enchant Chest
Greater Stats",,,"Tree Bark
Jacket","100 Health
Enchant Chest
Major Health",,,"Tree Bark
Jacket","100 Health
Enchant Chest
Major Health",,,"Ritual Shroud
of Shadow Wrath","100 Health
Enchant Chest
Major Health",,,"Blackened
Defias Armor","100 Health
Enchant Chest
Major Health",,,"Blackened
Defias Armor","100 Health
Enchant Chest
Major Health",,,"Blackened
Defias Armor","4 All Stats
Enchant Chest
Greater Stats"
,,"Wrangler's
Wristbands 
of Stamina","9 Stamina
Enchant Bracer
Superior Stamina",,,"Wrangler's
Wristbands 
of the Eagle","24 Healing
Enchant Bracer
Healing Power",,,"Wrangler's
Wristbands 
of the Eagle","9 Stamina
Enchant Bracer
Superior Stamina",,,"Wrangler's
Wristbands 
of the Monkey","7 Intellect
Enchant Bracer
Greater Intellect",,,"Mindthrust
Bracers","7 Intellect
Enchant Bracer
Greater Intellect",,,"Greenweave
Bracers
of Stamina","9 Stamina
Enchant Bracer
Superior Stamina",,,"Greenweave
Bracers
of Stamina","9 Stamina
Enchant Bracer
Superior Stamina",,,"Greenweave
Bracers
of Frozen Wrath","7 Intellect
Enchant Bracer
Greater Intellect",,,"Greenweave
Bracers
of Stamina","9 Stamina
Enchant Bracer
Superior Stamina",,,"Mindthrust
Bracers","24 Healing
Enchant Bracer
Healing Power",,,"Mindthrust
Bracers","7 Intellect
Enchant Bracer
Greater Intellect",,,"Wrangler's
Wristbands 
of the Monkey","9 Stamina
Enchant Bracer
Superior Stamina",,,"Wrangler's
Wristbands 
of Power","9 Strength
Enchant Bracer
Superior Strength",,,"Wrangler's
Wristbands 
of the Eagle","9 Stamina
Enchant Bracer
Superior Stamina",,,"Wrangler's
Wristbands 
of the Eagle","9 Stamina
Enchant Bracer
Superior Stamina",,,"Wrangler's
Wristbands 
of the Eagle","9 Strength
Enchant Bracer
Superior Strength",,,"Greenweave
Bracers
of Stamina","9 Stamina
Enchant Bracer
Superior Stamina",,,"Greenweave
Bracers
of Shadow Wrath","9 Stamina
Enchant Bracer
Superior Stamina",,,"Greenweave
Bracers
of Shadow Wrath","9 Stamina
Enchant Bracer
Superior Stamina",,,"Steel-clasped
Bracers","9 Stamina
Enchant Bracer
Superior Stamina",,,"Steel-clasped
Bracers","9 Stamina
Enchant Bracer
Superior Stamina",,,"Foritfied Bracers
of Power","9 Strength
Enchant Bracer
Superior Strength"
,,"Scouting
Gloves
of the Eagle","30 Healing
Enchant Gloves
Healing Power",,,Magefist Gloves,"30 Healing
Enchant Gloves
Healing Power",,,"Scouting
Gloves
of the Eagle","15 Agility
Enchant Gloves
Superior Agility",,,"Scouting
Gloves
of the Monkey","15 Agility
Enchant Gloves
Superior Agility",,,"Scouting
Gloves
of the Falcon","15 Agility
Enchant Gloves
Superior Agility",,,"Pagan Mitts
of the Eagle","20 Frost Power
Enchant Gloves
Frost Power",,,Magefist Gloves,"20 Frost Power
Enchant Gloves
Frost Power",,,"Gnoll Casting 
Gloves","20 Frost Power
Enchant Gloves
Frost Power",,,Magefist Gloves,"30 Healing
Enchant Gloves
Healing Power",,,Magefist Gloves,"30 Healing
Enchant Gloves
Healing Power",,,Magefist Gloves,"30 Healing
Enchant Gloves
Healing Power",,,"Scouting
Gloves
of the Monkey","15 Agility
Enchant Gloves
Superior Agility",,,"Bristlebark
Gloves","15 Agility
Enchant Gloves
Superior Agility",,,Magefist Gloves,"30 Healing
Enchant Gloves
Healing Power",,,Jutebraid Gloves,"15 Agility
Enchant Gloves
Superior Agility",,,Jutebraid Gloves,"7 Strength
Enchant Gloves
Greater Strength",,,"Pagan Mitts
of the Eagle","20 Shadow Power
Enchant Gloves
Shadow Power",,,"Gnoll Casting 
Gloves","20 Shadow Power
Enchant Gloves
Shadow Power",,,"Gnoll Casting 
Gloves","20 Shadow Power
Enchant Gloves
Shadow Power",,,"Thorbia's
Gauntlets","15 Agility
Enchant Gloves
Superior Agility",,,"Thorbia's
Gauntlets","15 Agility
Enchant Gloves
Superior Agility",,,"Thorbia's
Gauntlets","7 Strength
Enchant Gloves
Greater Strength"
,,"Deviate Scale
Belt",,,,Keller's Girdle,,,,Keller's Girdle,,,,Screecher Belt,,,,Screecher Belt,,,,Keller's Girdle,,,,Keller's Girdle,,,,Keller's Girdle,,,,Keller's Girdle,,,,Keller's Girdle,,,,Keller's Girdle,,,,"Deviate Scale
Belt",,,,Screecher Belt,,,,Screecher Belt,,,,Screecher Belt,,,,Screecher Belt,,,,Keller's Girdle,,,,Keller's Girdle,,,,Keller's Girdle,,,,"Deviate Scale
Belt",,,,Cobrahn's Grasp,,,,Cobrahn's Grasp,
,,"Scouting
Trousers
of the Eagle","100 Health
Lesser Arcanum
of Constitution",,,"Darkweave 
Breeches","150 Mana
Lesser Arcanum
of Rumination",,,"Darkweave 
Breeches","100 Health
Lesser Arcanum
of Constitution",,,"Leggings
of the Fang","8 Agility
Lesser Arcanum
of Voracity",,,"Leggings
of the Fang","8 Agility
Lesser Arcanum
of Voracity",,,"Shimmering
Trousers
of the Eagle","100 Health
Lesser Arcanum
of Constitution",,,"Darkweave 
Breeches","100 Health
Lesser Arcanum
of Constitution",,,"Darkweave 
Breeches","150 Mana
Lesser Arcanum
of Rumination",,,"Darkweave 
Breeches","100 Health
Lesser Arcanum
of Constitution",,,"Darkweave 
Breeches","150 Mana
Lesser Arcanum
of Rumination",,,"Darkweave 
Breeches","150 Mana
Lesser Arcanum
of Rumination",,,"Leggings
of the Fang","100 Health
Lesser Arcanum
of Constitution",,,"Leggings
of the Fang","8 Agility
Lesser Arcanum
of Voracity",,,"Darkweave 
Breeches","100 Health
Lesser Arcanum
of Constitution",,,"Leggings
of the Fang","100 Health
Lesser Arcanum
of Constitution",,,"Leggings
of the Fang","150 Mana
Lesser Arcanum
of Rumination",,,"Shimmering
Trousers
of the Eagle","100 Health
Lesser Arcanum
of Constitution",,,"Darkweave 
Breeches","100 Health
Lesser Arcanum
of Constitution",,,"Darkweave 
Breeches","100 Health
Lesser Arcanum
of Constitution",,,"Leggings
of the Fang","100 Health
Lesser Arcanum
of Constitution",,,"Leggings
of the Fang","100 Health
Lesser Arcanum
of Constitution",,,"Leggings
of the Fang","8 Strength
Lesser Arcanum
of Voracity"
,,"Nat Pagle's
Extreme Anglers","Minor Speed
Enchant Boots
Minor Speed",,,"Nat Pagle's
Extreme Anglers","Minor Speed
Enchant Boots
Minor Speed",,,"Nat Pagle's
Extreme Anglers","Minor Speed
Enchant Boots
Minor Speed",,,Trailblazer Boots,"Minor Speed
Enchant Boots
Minor Speed",,,Feet of the Lynx,"Minor Speed
Enchant Boots
Minor Speed",,,"Nat Pagle's
Extreme Anglers","Minor Speed
Enchant Boots
Minor Speed",,,"Nat Pagle's
Extreme Anglers","Minor Speed
Enchant Boots
Minor Speed",,,"Greenweave
Sandals
of Frozen Wrath","Minor Speed
Enchant Boots
Minor Speed",,,"Nat Pagle's
Extreme Anglers","Minor Speed
Enchant Boots
Minor Speed",,,"Nat Pagle's
Extreme Anglers","Minor Speed
Enchant Boots
Minor Speed",,,"Nat Pagle's
Extreme Anglers","Minor Speed
Enchant Boots
Minor Speed",,,"Nat Pagle's
Extreme Anglers","Minor Speed
Enchant Boots
Minor Speed",,,Feet of the Lynx,"Minor Speed
Enchant Boots
Minor Speed",,,"Nat Pagle's
Extreme Anglers","Minor Speed
Enchant Boots
Minor Speed",,,"Nat Pagle's
Extreme Anglers","Minor Speed
Enchant Boots
Minor Speed",,,Draftsman Boots,"Minor Speed
Enchant Boots
Minor Speed",,,"Nat Pagle's
Extreme Anglers","Minor Speed
Enchant Boots
Minor Speed",,,"Nat Pagle's
Extreme Anglers","Minor Speed
Enchant Boots
Minor Speed",,,"Greenweave
Sandals
of Shadow Wrath","Minor Speed
Enchant Boots
Minor Speed",,,"Nat Pagle's
Extreme Anglers","Minor Speed
Enchant Boots
Minor Speed",,,"Nat Pagle's
Extreme Anglers","Minor Speed
Enchant Boots
Minor Speed",,,Draftsman Boots,"Minor Speed
Enchant Boots
Minor Speed"
,,"Seal of 
Sylvanas",,,,"Seal of 
Sylvanas",,,,"Seal of 
Sylvanas",,,,"Legionnaire' s
Band",,,,"Zircon Band
of Frost
Resistance",,,,"Seal of 
Sylvanas",,,,"Seal of 
Sylvanas",,,,"Lavishly
Jeweled Ring",,,,"Seal of 
Sylvanas",,,,"Seal of 
Sylvanas",,,,"Zircon Band
of Arcane
Resistance",,,,"Seal of 
Sylvanas",,,,"Zircon Band
of Nature
Resistance",,,,"Seal of 
Sylvanas",,,,"Seal of 
Sylvanas",,,,"Zircon Band
of Frost
Resistance",,,,"Seal of 
Sylvanas",,,,"Seal of 
Sylvanas",,,,Advisor's Ring,,,,"Seal of 
Sylvanas",,,,"Seal of 
Sylvanas",,,,"Zircon Band
of Frost
Resistance",
,,"Zircon Band
of Shadow
Resistance",,,,Advisor's Ring,,,,"Zircon Band
of Shadow
Resistance",,,,"Lavishly
Jeweled Ring",,,,"Zircon Band
of Frost
Resistance",,,,"Zircon Band
of Shadow
Resistance",,,,Advisor's Ring,,,,Advisor's Ring,,,,"Zircon Band
of Shadow
Resistance",,,,"Zircon Band
of Arcane
Resistance",,,,"Zircon Band
of Arcane
Resistance",,,,"Legionnaire' s
Band",,,,"Zircon Band
of Nature
Resistance",,,,"Zircon Band
of Nature
Resistance",,,,"Legionnaire' s
Band",,,,"Zircon Band
of Frost
Resistance",,,,"Zircon Band
of Shadow
Resistance",,,,Advisor's Ring,,,,"Zircon Band
of Frost
Resistance",,,,"Zircon Band
of Shadow
Resistance",,,,"Legionnaire' s
Band",,,,"Zircon Band
of Frost
Resistance",
,,"Insignia 
of the Horde",,,,"Insignia 
of the Horde",,,,"Insignia
of the Horde",,,,"Insignia
of the Horde",,,,"Insignia
of the Horde",,,,"Insignia
of the Horde",,,,"Insignia
of the Horde",,,,"Insignia
of the Horde",,,,"Insignia
of the Horde",,,,"Insignia
of the Horde",,,,"Insignia
of the Horde",,,,"Insignia
of the Horde",,,,"Insignia
of the Horde",,,,"Insignia
of the Horde",,,,"Insignia
of the Horde",,,,"Insignia
of the Horde",,,,"Insignia
of the Horde",,,,"Insignia
of the Horde",,,,"Insignia
of the Horde",,,,"Insignia
of the Horde",,,,"Insignia
of the Horde",,,,"Insignia
of the Horde",
,,"Arena 
Grand Master",,,,"Minor 
Recombobulator",,,,"Minor 
Recombobulator",,,,"Minor 
Recombobulator",,,,"Minor 
Recombobulator",,,,"Arena 
Grand Master",,,,"Minor 
Recombobulator",,,,"Minor 
Recombobulator",,,,"Arena 
Grand Master",,,,"Arena 
Grand Master",,,,"Minor 
Recombobulator",,,,"Minor 
Recombobulator",,,,"Minor 
Recombobulator",,,,"Minor 
Recombobulator",,,,"Minor 
Recombobulator",,,,"Minor 
Recombobulator",,,,"Minor 
Recombobulator",,,,"Minor 
Recombobulator",,,,"Minor 
Recombobulator",,,,"Minor 
Recombobulator",,,,"Minor 
Recombobulator",,,,"Minor 
Recombobulator",
